model,feature_set,n_features,AUC,GINI,Recall,F1
LightGBM,BASE COMPACT,38,0.8949796533915962,0.7899593067831925,0.3526556253569389,0.4721850506595297
LightGBM,BASE + SPARK,47,0.9558025448978915,0.911605089795783,0.6470588235294118,0.7201652629906246
CatBoost,BASE COMPACT,38,0.8910232553874851,0.7820465107749701,0.32038834951456313,0.4434344432368343
CatBoost,BASE + SPARK,47,0.9462951882454238,0.8925903764908476,0.566105082809823,0.6631543736410771
Logistic Regression,BASE COMPACT,38,0.8563781727173813,0.7127563454347625,0.2198743575099943,0.32582249021474663
Logistic Regression,BASE + SPARK,47,0.8592617990680729,0.7185235981361457,0.23072529982866932,0.33885510589222056
