Индекс,"Ёмкость, %",Выбрано строк,"Expected rescue, %","Min rescue, %","Max rescue, %",Boundary score,"Доля boundary tie, %"
Q_B1_norm,10.0,28961,39.36655057017919,35.15527950310559,47.82608695652174,43.6657,33.236011852884786
Q_B1_norm,20.0,57923,47.362278421535265,35.15527950310559,47.82608695652174,43.6657,96.33955028760677
Q_B1_norm,30.0,86884,53.74510701771774,52.17391304347826,57.639751552795026,7.3487,28.745707937790343
Q_B2_norm,10.0,28961,43.490386817747,43.35403726708075,48.57142857142857,15.363,2.6133663877698585
Q_B2_norm,20.0,57923,51.38036928093399,48.57142857142857,61.24223602484472,9.152,22.16860069756729
Q_B2_norm,30.0,86884,59.43001621226058,48.57142857142857,61.24223602484472,9.152,85.69767696931143
