Скор,ROC-AUC,Gini,PR-AUC,"Захват дефолтов top-10%, %","Захват дефолтов top-20%, %","Захват дефолтов top-30%, %"
Baseline consensus,0.9031737921108485,0.806347584221697,0.6038410098595697,57.20506871318937,77.82973407103337,87.38175977155096
Baseline + Q_B1 (1:1),0.9376910493442989,0.8753820986885978,0.770450578900433,56.91593789041585,79.46457255041942,89.79118329466357
Baseline + Q_B2 (1:1),0.9224539984107418,0.8449079968214837,0.6876019381469992,47.22113153667678,70.80849544886668,76.96948063537391
Baseline + Q_B1 + Q_B2 (1:1:1),0.9383767092502746,0.8767534185005492,0.7605256852572982,48.113510619311086,69.90183830091023,85.67196144922363
